[NORMAL]|[2024:4:2:21:21] HttpServer init successful socket = 3
[DEBUGE]|[2024:4:2:21:21] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:2:21:21] CREATE THREAD POOL SUCCESS
[DEBUGE]|[2024:4:2:21:21] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:2:21:21] METHOD=GET,URI=/index.html,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:2:21:21] NOT USE CGI------------------------
[DEBUGE]|[2024:4:2:21:21] RESPONSE CODE = 200
[DEBUGE]|[2024:4:2:21:21] GET A NEW LINK SOCK = 6
[DEBUGE]|[2024:4:2:21:21] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:2:21:21] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:2:21:21] RESPONSE CODE = 404
[DEBUGE]|[2024:4:2:21:21] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:2:21:22] RECV ERROR ,STOP BUILD AND SEND
[WARING]|[2024:4:2:21:22] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:2:21:24] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:2:21:24] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:2:21:24] NOT USE CGI------------------------
[DEBUGE]|[2024:4:2:21:24] RESPONSE CODE = 200
[DEBUGE]|[2024:4:2:21:24] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:2:21:24] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:2:21:24] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:2:21:24] RESPONSE CODE = 404
[DEBUGE]|[2024:4:2:21:26] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:2:21:26] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:2:21:26] NOT USE CGI------------------------
[DEBUGE]|[2024:4:2:21:26] RESPONSE CODE = 200
[DEBUGE]|[2024:4:2:21:26] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:2:21:26] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:2:21:26] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:2:21:26] RESPONSE CODE = 404
[DEBUGE]|[2024:4:2:21:56] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:2:21:56] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:2:21:56] NOT USE CGI------------------------
[DEBUGE]|[2024:4:2:21:56] RESPONSE CODE = 200
[DEBUGE]|[2024:4:2:21:56] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:2:21:56] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:2:21:56] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:2:21:56] RESPONSE CODE = 404
[DEBUGE]|[2024:4:2:21:56] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:2:21:56] METHOD=GET,URI=http://api.ipify.org/?format=json,VERSION=HTTP/1.1
[ERROR]|[2024:4:2:21:56] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:2:21:56] RESPONSE CODE = 404
[DEBUGE]|[2024:4:2:21:56] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:2:21:56] METHOD=CONNECT,URI=www.shadowserver.org:443,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:2:21:56] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:2:21:56] RESPONSE CODE = 400
[DEBUGE]|[2024:4:2:22:30] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:2:22:30] METHOD=GET,URI=/robots.txt,VERSION=HTTP/1.1
[ERROR]|[2024:4:2:22:30] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:2:22:30] RESPONSE CODE = 404
[DEBUGE]|[2024:4:2:22:30] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:2:22:30] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:2:22:30] NOT USE CGI------------------------
[DEBUGE]|[2024:4:2:22:30] RESPONSE CODE = 200
[DEBUGE]|[2024:4:2:22:30] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:2:22:30] METHOD=GET,URI=/wwwroot,VERSION=HTTP/1.1
[ERROR]|[2024:4:2:22:30] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:2:22:30] RESPONSE CODE = 404
[DEBUGE]|[2024:4:2:22:30] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:2:22:30] METHOD=GET,URI=/www.example.com,VERSION=HTTP/1.1
[ERROR]|[2024:4:2:22:30] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:2:22:30] RESPONSE CODE = 404
[DEBUGE]|[2024:4:2:23:29] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:2:23:29] METHOD=CONNECT,URI=google.com:443,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:2:23:29] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:2:23:29] RESPONSE CODE = 400
[DEBUGE]|[2024:4:2:23:55] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:2:23:55] METHOD=CONNECT,URI=193.149.189.126:7227,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:2:23:55] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:2:23:55] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:0:37] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:0:37] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:0:37] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:0:37] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:0:37] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:0:37] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:0:37] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:0:37] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:0:37] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:0:37] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:0:37] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:0:37] METHOD=PRI,URI=*,VERSION=HTTP/2.0
[DEBUGE]|[2024:4:3:0:37] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:0:37] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:0:37] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:0:37] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:0:37] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:0:37] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:1:46] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:1:46] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:3:52] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:3:52] METHOD=CONNECT,URI=185.65.245.140:7227,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:3:52] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:3:52] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:4:38] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:4:38] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:4:38] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:4:38] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:4:38] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:4:38] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:4:38] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:4:38] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:4:38] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:4:38] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:4:38] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:4:38] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:4:38] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:4:38] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:4:38] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:4:38] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:4:38] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:4:38] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:4:38] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:4:38] RESPONSE CODE = 404
